y,z,vy,vz
-1.73789,3.44873,-1.98292,1.2608
-1.75782,3.4614,-1.98543,1.24096
-1.77777,3.47387,-1.98774,1.22109
-1.79775,3.48614,-1.98985,1.2012
-1.81775,3.49821,-1.99177,1.18129
-1.83776,3.51009,-1.99348,1.16137
-1.8578,3.52176,-1.99499,1.14142
-1.87785,3.53323,-1.99631,1.12147
-1.89791,3.5445,-1.99742,1.1015
-1.91798,3.55557,-1.99834,1.08152
-1.93807,3.56644,-1.99905,1.06153
-1.95816,3.57711,-1.99957,1.04154
-1.97825,3.58758,-1.99988,1.02154
-1.99835,3.59784,-2,1.00154
-2.01845,3.60791,-1.99992,0.98154
-2.03855,3.61777,-1.99963,0.961542
-2.05865,3.62744,-1.99915,0.941548
-2.07874,3.6369,-1.99846,0.921559
-2.09882,3.64616,-1.99758,0.901578
-2.1189,3.65522,-1.99649,0.881608
-2.13896,3.66408,-1.99521,0.861649
-2.15902,3.67274,-1.99373,0.841703
-2.17905,3.6812,-1.99204,0.821774
-2.19907,3.68946,-1.99016,0.801862
-2.21907,3.69752,-1.98808,0.781971
-2.23905,3.70538,-1.9858,0.762101
-2.25901,3.71303,-1.98332,0.742255
-2.27894,3.72049,-1.98065,0.722434
-2.29885,3.72775,-1.97777,0.702642
-2.31873,3.73482,-1.9747,0.682879
-2.33857,3.74168,-1.97143,0.663148
-2.35838,3.74834,-1.96796,0.64345
-2.37816,3.75481,-1.9643,0.623789
-2.3979,3.76108,-1.96044,0.604164
-2.41761,3.76715,-1.95638,0.58458
-2.43727,3.77303,-1.95213,0.565037
-2.45689,3.7787,-1.94768,0.545537
-2.47646,3.78419,-1.94304,0.526083
-2.49599,3.78947,-1.9382,0.506676
-2.51547,3.79457,-1.93317,0.487319
-2.5349,3.79946,-1.92795,0.468013
-2.55427,3.80417,-1.92253,0.44876
-2.57359,3.80868,-1.91693,0.429562
-2.59286,3.813,-1.91113,0.410422
-2.61206,3.81712,-1.90513,0.39134
-2.63121,3.82105,-1.89895,0.372319
-2.6503,3.82479,-1.89258,0.353361
-2.66932,3.82835,-1.88602,0.334467
-2.68827,3.83171,-1.87927,0.31564
-2.70716,3.83488,-1.87233,0.296882
-2.72597,3.83786,-1.86521,0.278194
-2.74472,3.84066,-1.8579,0.259578
-2.76339,3.84327,-1.8504,0.241036
-2.78199,3.84569,-1.84272,0.22257
-2.80051,3.84793,-1.83485,0.204182
-2.81895,3.84998,-1.8268,0.185873
-2.83731,3.85185,-1.81857,0.167646
-2.85558,3.85353,-1.81015,0.149501
-2.87378,3.85503,-1.80156,0.131442
-2.89188,3.85636,-1.79278,0.11347
-2.9099,3.8575,-1.78383,0.0955868
-2.92783,3.85846,-1.77469,0.0777937
-2.94566,3.85924,-1.76538,0.0600929
-2.9634,3.85984,-1.7559,0.0424861
-2.98105,3.86027,-1.74623,0.024975
-2.9986,3.86052,-1.7364,0.00756143
-3.01605,3.8606,-1.72638,-0.0097529
-3.0334,3.8605,-1.7162,-0.0269662
-3.05065,3.86023,-1.70584,-0.0440769
-3.06779,3.85978,-1.69532,-0.0610831
-3.08483,3.85917,-1.68462,-0.0779833
-3.10176,3.85839,-1.67376,-0.0947756
-3.11858,3.85743,-1.66273,-0.111458
-3.13529,3.85631,-1.65153,-0.12803
-3.15189,3.85503,-1.64017,-0.144489
-3.16837,3.85357,-1.62864,-0.160833
-3.18474,3.85196,-1.61695,-0.177062
-3.20099,3.85018,-1.6051,-0.193172
-3.21712,3.84824,-1.59309,-0.209164
-3.23313,3.84614,-1.58092,-0.225034
-3.24902,3.84387,-1.56859,-0.240782
-3.26479,3.84145,-1.5561,-0.256406
-3.28043,3.83888,-1.54346,-0.271904
-3.29594,3.83614,-1.53066,-0.287275
-3.31132,3.83326,-1.51771,-0.302517
-3.32657,3.83022,-1.50461,-0.317629
-3.3417,3.82703,-1.49136,-0.33261
-3.35668,3.82368,-1.47796,-0.347457
-3.37154,3.82019,-1.46441,-0.362169
-3.38625,3.81655,-1.45072,-0.376745
-3.40083,3.81276,-1.43688,-0.391183
-3.41527,3.80883,-1.42289,-0.405482
-3.42957,3.80476,-1.40877,-0.419641
-3.44373,3.80054,-1.3945,-0.433658
-3.45775,3.79618,-1.38009,-0.447531
-3.47162,3.79168,-1.36555,-0.461259
-3.48534,3.78705,-1.35087,-0.474842
-3.49892,3.78228,-1.33605,-0.488277
-3.51234,3.77737,-1.3211,-0.501563
-3.52562,3.77233,-1.30602,-0.514699
-3.53875,3.76716,-1.29081,-0.527683
-3.55172,3.76185,-1.27547,-0.540515
-3.56454,3.75642,-1.26,-0.553193
-3.5772,3.75086,-1.2444,-0.565715
-3.58971,3.74518,-1.22868,-0.578081
-3.60206,3.73937,-1.21284,-0.590289
-3.61424,3.73343,-1.19688,-0.602338
-3.62627,3.72738,-1.18079,-0.614226
-3.63814,3.72121,-1.16459,-0.625953
-3.64984,3.71492,-1.14828,-0.637518
-3.66138,3.70851,-1.13184,-0.648919
-3.67276,3.70199,-1.1153,-0.660155
-3.68397,3.69535,-1.09864,-0.671225
-3.69501,3.68861,-1.08187,-0.682128
-3.70588,3.68175,-1.065,-0.692862
-3.71659,3.67479,-1.04802,-0.703428
-3.72712,3.66772,-1.03093,-0.713823
-3.73748,3.66055,-1.01374,-0.724046
-3.74767,3.65327,-0.996448,-0.734098
-3.75768,3.64589,-0.979057,-0.743975
-3.76752,3.63841,-0.961568,-0.753679
-3.77718,3.63084,-0.943984,-0.763207
-3.78667,3.62317,-0.926304,-0.772558
-3.79598,3.6154,-0.908532,-0.781733
-3.80511,3.60755,-0.89067,-0.790729
-3.81406,3.5996,-0.872718,-0.799546
-3.82283,3.59157,-0.854679,-0.808183
-3.83142,3.58344,-0.836554,-0.81664
-3.83983,3.57524,-0.818346,-0.824914
-3.84806,3.56695,-0.800056,-0.833007
-3.8561,3.55857,-0.781686,-0.840916
-3.86395,3.55012,-0.763238,-0.84864
-3.87162,3.54159,-0.744713,-0.85618
-3.87911,3.53299,-0.726114,-0.863535
-3.8864,3.52431,-0.707442,-0.870703
-3.89351,3.51556,-0.6887,-0.877683
-3.90044,3.50674,-0.669889,-0.884477
-3.90717,3.49785,-0.65101,-0.891081
-3.91371,3.4889,-0.632067,-0.897497
-3.92006,3.47988,-0.61306,-0.903723
-3.92622,3.47079,-0.593993,-0.909758
-3.93219,3.46165,-0.574865,-0.915602
-3.93797,3.45245,-0.55568,-0.921255
-3.94356,3.44319,-0.53644,-0.926716
-3.94895,3.43388,-0.517146,-0.931984
-3.95414,3.42451,-0.4978,-0.937059
-3.95915,3.41509,-0.478405,-0.94194
-3.96395,3.40563,-0.458962,-0.946627
-3.96857,3.39611,-0.439472,-0.951119
-3.97298,3.38655,-0.419939,-0.955417
-3.9772,3.37695,-0.400364,-0.959518
-3.98123,3.36731,-0.380749,-0.963424
-3.98505,3.35763,-0.361096,-0.967133
-3.98868,3.34791,-0.341406,-0.970646
-3.99211,3.33815,-0.321683,-0.973961
-3.99535,3.32836,-0.301927,-0.977079
-3.99838,3.31854,-0.282141,-0.98
-4.00122,3.30869,-0.262327,-0.982722
-4.00385,3.29882,-0.242487,-0.985246
-4.00629,3.28892,-0.222622,-0.987572
-4.00853,3.27899,-0.202735,-0.989699
-4.01057,3.26905,-0.182828,-0.991627
-4.0124,3.25908,-0.162903,-0.993355
-4.01404,3.2491,-0.142961,-0.994885
-4.01548,3.2391,-0.123005,-0.996215
-4.01671,3.22909,-0.103037,-0.997345
-4.01775,3.21906,-0.0830581,-0.998275
-4.01858,3.20903,-0.0630712,-0.999006
-4.01922,3.19899,-0.043078,-0.999537
-4.01965,3.18894,-0.0230805,-0.999868
-4.01988,3.1789,-0.00308064,-0.999998
-4.01991,3.16885,0.0169195,-0.999929
-4.01974,3.1588,0.0369179,-0.99966
-4.01937,3.14875,0.0569127,-0.999191
-4.0188,3.13871,0.0769018,-0.998522
-4.01803,3.12867,0.0968831,-0.997653
-4.01705,3.11865,0.116855,-0.996584
-4.01588,3.10863,0.136815,-0.995316
-4.0145,3.09863,0.156761,-0.993848
-4.01293,3.08864,0.176692,-0.992181
-4.01115,3.07867,0.196605,-0.990314
-4.00918,3.06872,0.216498,-0.988248
-4.007,3.05878,0.23637,-0.985984
-4.00463,3.04887,0.256218,-0.983521
-4.00205,3.03899,0.27604,-0.98086
-3.99928,3.02913,0.295835,-0.978
-3.9963,3.0193,0.3156,-0.974943
-3.99313,3.00951,0.335334,-0.971688
-3.98976,2.99974,0.355034,-0.968236
-3.98619,2.99001,0.374699,-0.964588
-3.98243,2.98031,0.394326,-0.960742
-3.97847,2.97066,0.413913,-0.956701
-3.97431,2.96104,0.43346,-0.952464
-3.96995,2.95147,0.452963,-0.948032
-3.9654,2.94194,0.47242,-0.943405
-3.96065,2.93246,0.491831,-0.938583
-3.95571,2.92303,0.511192,-0.933568
-3.95057,2.91365,0.530502,-0.92836
-3.94524,2.90432,0.549759,-0.922958
-3.93971,2.89504,0.568961,-0.917364
-3.93399,2.88582,0.588106,-0.911579
-3.92808,2.87666,0.607193,-0.905602
-3.92198,2.86756,0.626219,-0.899435
-3.91569,2.85852,0.645182,-0.893078
-3.9092,2.84955,0.66408,-0.886532
-3.90253,2.84064,0.682912,-0.879796
-3.89567,2.83179,0.701676,-0.872873
-3.88861,2.82302,0.72037,-0.865763
-3.88137,2.81432,0.738991,-0.858466
-3.87395,2.80569,0.757539,-0.850983
-3.86633,2.79714,0.776011,-0.843315
-3.85854,2.78867,0.794405,-0.835463
-3.85055,2.78027,0.81272,-0.827427
-3.84238,2.77195,0.830954,-0.819208
-3.83403,2.76372,0.849104,-0.810808
-3.8255,2.75557,0.86717,-0.802226
-3.81678,2.74751,0.885149,-0.793465
-3.80789,2.73953,0.903039,-0.784523
-3.79881,2.73165,0.920839,-0.775404
-3.78956,2.72386,0.938547,-0.766107
-3.78013,2.71616,0.956161,-0.756633
-3.77052,2.70855,0.97368,-0.746983
-3.76073,2.70105,0.991101,-0.737159
-3.75077,2.69364,1.00842,-0.727161
-3.74064,2.68633,1.02564,-0.716991
-3.73033,2.67912,1.04276,-0.706648
-3.71985,2.67202,1.05978,-0.696136
-3.7092,2.66503,1.07669,-0.685453
-3.69838,2.65814,1.09349,-0.674602
-3.68739,2.65136,1.11018,-0.663583
-3.67623,2.64469,1.12676,-0.652398
-3.66491,2.63813,1.14323,-0.641048
-3.65342,2.63169,1.15958,-0.629534
-3.64176,2.62536,1.17582,-0.617856
-3.62995,2.61915,1.19194,-0.606017
-3.61797,2.61306,1.20794,-0.594018
-3.60583,2.60709,1.22382,-0.581859
-3.59353,2.60125,1.23957,-0.569541
-3.58107,2.59552,1.25521,-0.557067
-3.56846,2.58992,1.27072,-0.544437
-3.55568,2.58445,1.2861,-0.531653
-3.54276,2.57911,1.30135,-0.518715
-3.52968,2.5739,1.31647,-0.505626
-3.51645,2.56881,1.33146,-0.492386
-3.50307,2.56387,1.34632,-0.478997
-3.48954,2.55905,1.36104,-0.46546
-3.47586,2.55437,1.37563,-0.451776
-3.46204,2.54983,1.39008,-0.437947
-3.44807,2.54543,1.40439,-0.423974
-3.43395,2.54117,1.41856,-0.409859
-3.41969,2.53705,1.43258,-0.395603
-3.4053,2.53308,1.44647,-0.381208
-3.39076,2.52925,1.46021,-0.366674
-3.37608,2.52556,1.4738,-0.352004
-3.36127,2.52202,1.48725,-0.337198
-3.34633,2.51863,1.50055,-0.322259
-3.33125,2.51539,1.51369,-0.307187
-3.31603,2.51231,1.52669,-0.291985
-3.30069,2.50937,1.53953,-0.276653
-3.28522,2.50659,1.55222,-0.261194
-3.26962,2.50397,1.56476,-0.245609
-3.25389,2.5015,1.57713,-0.229899
-3.23804,2.49919,1.58935,-0.214066
-3.22207,2.49704,1.60142,-0.198112
-3.20597,2.49505,1.61332,-0.182038
-3.18976,2.49322,1.62506,-0.165846
-3.17343,2.49155,1.63663,-0.149537
-3.15698,2.49005,1.64805,-0.133113
-3.14042,2.48871,1.6593,-0.116576
-3.12374,2.48754,1.67038,-0.0999269
-3.10695,2.48653,1.68129,-0.0831681
-3.09006,2.4857,1.69204,-0.066301
-3.07305,2.48503,1.70262,-0.0493273
-3.05594,2.48454,1.71303,-0.0322486
-3.03873,2.48421,1.72327,-0.0150667
-3.02141,2.48406,1.73333,0.00221667
-3.00399,2.48408,1.74322,0.0195999
-2.98647,2.48428,1.75294,0.0370811
-2.96885,2.48465,1.76248,0.0546586
-2.95114,2.4852,1.77184,0.0723307
-2.93333,2.48593,1.78103,0.0900955
-2.91543,2.48683,1.79004,0.107951
-2.89744,2.48792,1.79887,0.125896
-2.87936,2.48918,1.80752,0.143929
-2.8612,2.49063,1.816,0.162047
-2.84295,2.49226,1.82428,0.180249
-2.82461,2.49407,1.83239,0.198533
-2.8062,2.49607,1.84031,0.216897
-2.7877,2.49825,1.84805,0.235339
-2.76913,2.50061,1.85561,0.253858
-2.75048,2.50316,1.86298,0.272451
-2.73176,2.5059,1.87016,0.291117
-2.71296,2.50883,1.87715,0.309854
-2.6941,2.51194,1.88396,0.32866
-2.67516,2.51524,1.89058,0.347533
-2.65616,2.51874,1.89701,0.366472
-2.6371,2.52242,1.90325,0.385473
-2.61797,2.52629,1.9093,0.404537
-2.59878,2.53036,1.91516,0.423659
-2.57953,2.53462,1.92083,0.44284
-2.56023,2.53907,1.9263,0.462076
-2.54087,2.54371,1.93159,0.481366
-2.52146,2.54855,1.93668,0.500708
-2.50199,2.55358,1.94157,0.520099
-2.48248,2.55881,1.94627,0.539539
-2.46292,2.56423,1.95078,0.559025
-2.44332,2.56985,1.95509,0.578555
-2.42367,2.57566,1.95921,0.598127
-2.40398,2.58167,1.96313,0.617739
-2.38425,2.58788,1.96685,0.637389
-2.36448,2.59429,1.97038,0.657076
-2.34468,2.60089,1.97371,0.676797
-2.32484,2.60769,1.97685,0.69655
-2.30498,2.61469,1.97978,0.716334
-2.28508,2.62189,1.98252,0.736146
