y,z,vy,vz
-0.00460136,5.48329,0.536613,2.99003
0.000565763,5.51324,0.516713,2.9954
0.00553335,5.54325,0.496759,3.00057
0.0103009,5.5733,0.476753,3.00553
0.0148679,5.60341,0.456698,3.0103
0.0192338,5.63355,0.436595,3.01487
0.0233983,5.66375,0.416446,3.01923
0.0273608,5.69398,0.396254,3.0234
0.031121,5.72425,0.37602,3.02736
0.0346785,5.75457,0.355746,3.03112
0.0380328,5.78491,0.335435,3.03468
0.0411837,5.81529,0.315088,3.03803
0.0441308,5.8457,0.294708,3.04118
0.0468737,5.87615,0.274296,3.04413
0.0494123,5.90661,0.253855,3.04687
0.0517461,5.93711,0.233386,3.04941
0.0538751,5.96763,0.212892,3.05175
0.0557988,5.99816,0.192374,3.05388
0.0575172,6.02872,0.171836,3.0558
0.0590299,6.0593,0.151278,3.05752
0.060337,6.08989,0.130702,3.05903
0.0614381,6.12049,0.110112,3.06034
0.0623332,6.15111,0.0895088,3.06144
0.0630221,6.18173,0.0688944,3.06233
0.0635048,6.21236,0.0482711,3.06302
0.0637812,6.24299,0.0276408,3.0635
0.0638513,6.27363,0.0070058,3.06378
