y,z,vy,vz
-3.34091,3.83325,-1.49404,-0.330428
-3.35844,3.82937,-1.47842,-0.347769
-3.37578,3.82529,-1.4626,-0.364927
-3.39295,3.82101,-1.44657,-0.3819
-3.40992,3.81653,-1.43036,-0.398684
-3.4267,3.81185,-1.41394,-0.415278
-3.44329,3.80698,-1.39734,-0.431679
-3.45969,3.80191,-1.38054,-0.447886
-3.47589,3.79666,-1.36356,-0.463895
-3.49189,3.79121,-1.34639,-0.479705
-3.50768,3.78558,-1.32904,-0.495314
-3.52328,3.77977,-1.3115,-0.51072
-3.53867,3.77378,-1.29379,-0.525919
-3.55385,3.76761,-1.2759,-0.540912
-3.56882,3.76126,-1.25784,-0.555694
-3.58358,3.75474,-1.23961,-0.570265
-3.59812,3.74805,-1.2212,-0.584622
-3.61245,3.74119,-1.20264,-0.598763
-3.62656,3.73416,-1.1839,-0.612687
-3.64046,3.72698,-1.16501,-0.626392
-3.65413,3.71963,-1.14596,-0.639875
-3.66757,3.71212,-1.12675,-0.653135
-3.68079,3.70445,-1.10739,-0.66617
-3.69379,3.69664,-1.08788,-0.678978
-3.70655,3.68867,-1.06822,-0.691557
-3.71908,3.68056,-1.04841,-0.703907
-3.73139,3.6723,-1.02846,-0.716025
-3.74345,3.6639,-1.00838,-0.727909
-3.75529,3.65535,-0.98815,-0.739558
-3.76688,3.64668,-0.96779,-0.75097
-3.77824,3.63787,-0.947298,-0.762144
-3.78935,3.62892,-0.926677,-0.773078
-3.80022,3.61985,-0.905929,-0.783771
-3.81085,3.61066,-0.885059,-0.794221
-3.82124,3.60134,-0.864068,-0.804426
-3.83138,3.5919,-0.842959,-0.814387
-3.84127,3.58234,-0.821735,-0.8241
-3.85091,3.57267,-0.8004,-0.833565
-3.8603,3.56289,-0.778955,-0.842781
-3.86944,3.553,-0.757405,-0.851746
-3.87833,3.54301,-0.735751,-0.860458
-3.88696,3.53291,-0.713997,-0.868918
-3.89534,3.52272,-0.692146,-0.877123
-3.90346,3.51242,-0.6702,-0.885073
-3.91133,3.50204,-0.648164,-0.892766
-3.91893,3.49156,-0.626039,-0.900201
-3.92628,3.481,-0.603828,-0.907378
-3.93336,3.47036,-0.581536,-0.914296
-3.94018,3.45963,-0.559164,-0.920953
-3.94675,3.44882,-0.536716,-0.927348
-3.95304,3.43794,-0.514195,-0.933481
-3.95908,3.42699,-0.491604,-0.939351
-3.96484,3.41596,-0.468946,-0.944957
-3.97035,3.40488,-0.446224,-0.950298
-3.97558,3.39373,-0.423441,-0.955374
-3.98055,3.38252,-0.400601,-0.960184
-3.98525,3.37125,-0.377706,-0.964727
-3.98968,3.35993,-0.354759,-0.969002
-3.99385,3.34856,-0.331765,-0.97301
-3.99774,3.33714,-0.308724,-0.976749
-4.00136,3.32568,-0.285642,-0.980219
-4.00471,3.31418,-0.262521,-0.983419
-4.00779,3.30264,-0.239364,-0.986349
-4.0106,3.29107,-0.216175,-0.989009
-4.01314,3.27946,-0.192956,-0.991399
-4.0154,3.26783,-0.16971,-0.993517
-4.01739,3.25617,-0.146442,-0.995364
-4.01911,3.2445,-0.123153,-0.99694
-4.02056,3.2328,-0.0998481,-0.998243
-4.02173,3.22108,-0.0765291,-0.999275
-4.02263,3.20936,-0.0531996,-1.00003
-4.02325,3.19763,-0.0298628,-1.00052
-4.0236,3.18589,-0.0065219,-1.00074
-4.02368,3.17414,0.01682,-1.00068
-4.02348,3.1624,0.0401596,-1.00035
-4.02301,3.15066,0.0634938,-0.999748
-4.02226,3.13893,0.0868195,-0.998874
-4.02125,3.12721,0.110133,-0.997728
-4.01995,3.11551,0.133432,-0.99631
-4.01839,3.10382,0.156713,-0.99462
-4.01655,3.09215,0.179973,-0.992659
-4.01444,3.0805,0.203208,-0.990426
-4.01205,3.06888,0.226416,-0.987923
-4.0094,3.05729,0.249593,-0.985149
-4.00647,3.04573,0.272735,-0.982105
-4.00327,3.0342,0.295841,-0.978791
-3.9998,3.02272,0.318907,-0.975207
-3.99605,3.01127,0.341929,-0.971355
-3.99204,2.99988,0.364905,-0.967235
-3.98776,2.98853,0.387831,-0.962846
-3.98321,2.97723,0.410705,-0.958191
-3.97839,2.96599,0.433523,-0.953269
-3.9733,2.9548,0.456281,-0.948081
-3.96795,2.94368,0.478978,-0.942628
-3.96233,2.93262,0.50161,-0.936911
-3.95644,2.92162,0.524173,-0.930929
-3.95029,2.9107,0.546665,-0.924686
-3.94388,2.89985,0.569083,-0.91818
-3.9372,2.88908,0.591423,-0.911413
-3.93026,2.87838,0.613683,-0.904385
-3.92306,2.86777,0.63586,-0.897099
-3.9156,2.85725,0.65795,-0.889554
-3.90788,2.84681,0.67995,-0.881752
-3.8999,2.83646,0.701858,-0.873694
-3.89167,2.82621,0.723671,-0.865381
-3.88318,2.81606,0.745385,-0.856814
-3.87443,2.806,0.766997,-0.847994
-3.86543,2.79605,0.788506,-0.838923
-3.85618,2.78621,0.809907,-0.829602
-3.84668,2.77647,0.831198,-0.820031
-3.83692,2.76685,0.852375,-0.810212
-3.82692,2.75735,0.873437,-0.800148
-3.81667,2.74796,0.89438,-0.789838
-3.80618,2.73869,0.915202,-0.779284
-3.79544,2.72955,0.935899,-0.768488
-3.78446,2.72053,0.956468,-0.757452
-3.77324,2.71164,0.976907,-0.746176
-3.76177,2.70289,0.997214,-0.734663
-3.75007,2.69427,1.01738,-0.722913
-3.73813,2.68578,1.03742,-0.710929
-3.72596,2.67744,1.05731,-0.698712
-3.71356,2.66924,1.07706,-0.686264
-3.70092,2.66119,1.09666,-0.673586
-3.68805,2.65329,1.11611,-0.66068
-3.67495,2.64554,1.13541,-0.647549
-3.66163,2.63794,1.15455,-0.634193
-3.64808,2.6305,1.17354,-0.620614
-3.63432,2.62321,1.19237,-0.606815
-3.62032,2.61609,1.21104,-0.592797
-3.60611,2.60914,1.22954,-0.578563
-3.59169,2.60235,1.24787,-0.564113
-3.57705,2.59573,1.26604,-0.549451
-3.56219,2.58928,1.28403,-0.534577
-3.54712,2.58301,1.30185,-0.519495
-3.53185,2.57692,1.31949,-0.504206
-3.51637,2.571,1.33695,-0.488712
-3.50068,2.56526,1.35423,-0.473015
-3.48479,2.55971,1.37132,-0.457118
-3.4687,2.55435,1.38823,-0.441023
-3.45241,2.54918,1.40495,-0.424731
-3.43593,2.54419,1.42148,-0.408245
-3.41925,2.5394,1.43781,-0.391568
-3.40238,2.53481,1.45395,-0.374701
-3.38532,2.53041,1.46989,-0.357647
-3.36807,2.52622,1.48563,-0.340408
-3.35064,2.52222,1.50117,-0.322987
-3.33302,2.51843,1.5165,-0.305385
